county,refinery,cropres,forestres,scrapwood,mt_gas_at_refinery,mt_diesel_at_refinery,ft,m2g,pd,pg
6001,27.0,0.0,0.0,256907.0,46243.26,0.0,0.0,256907.0,0.0,0.0
6003,16.0,0.0,0.0,168.72,30.3696,0.0,0.0,168.72,0.0,0.0
6005,22.0,0.0,11575.0,7412.4,3417.732,0.0,0.0,18987.4,0.0,0.0
6007,30.0,177580.0,0.0,0.0,0.0,30188.6,177580.0,0.0,0.0,0.0
6007,33.0,0.0,46401.0,40820.7,15699.906,0.0,0.0,87221.7,0.0,0.0
6009,20.0,0.0,16617.0,6882.7,4229.946,0.0,0.0,23499.7,0.0,0.0
6011,30.0,293630.0,0.0,0.0,0.0,49917.1,293630.0,0.0,0.0,0.0
6011,37.0,0.0,0.0,3406.01,613.0818,0.0,0.0,3406.01,0.0,0.0
6013,27.0,9445.4,0.0,167242.0,30103.56,1605.718,9445.4,167242.0,0.0,0.0
6015,35.0,0.0,1034.9,4306.7,961.488,0.0,0.0,5341.6,0.0,0.0
6017,22.0,4.9035,45363.0,27847.1,13177.818,0.833595,4.9035,73210.1,0.0,0.0
6019,10.0,186700.0,2537.3,153797.0,28140.174,31739.0,186700.0,156334.3,0.0,0.0
6021,33.0,192310.0,2399.4,4658.17,1270.3626,32692.7,192310.0,7057.57,0.0,0.0
6023,35.0,3.4277968093,104310.0,645585.6,134981.208,0.582725457581,3.4277968093,749895.6,0.0,0.0
6025,17.0,17369.728,0.0,0.0,0.0,2952.85376,17369.728,0.0,0.0,0.0
6025,40.0,81925.272,0.0,26398.62,4751.7516,13927.29624,81925.272,26398.62,0.0,0.0
6027,13.0,0.0,0.0,3031.71,545.7078,0.0,0.0,3031.71,0.0,0.0
6029,17.0,97321.0,0.0,132372.2,23826.996,16544.57,97321.0,132372.2,0.0,0.0
6031,44.0,163660.0,0.0,24526.4,4414.752,27822.2,163660.0,24526.4,0.0,0.0
6033,37.0,2.4882,743.57,10048.23,1942.524,0.422994,2.4882,10791.8,0.0,0.0
6035,23.0,668.99,51101.0,5388.554,10168.11972,113.7283,668.99,56489.554,0.0,0.0
6037,40.0,6286.7,0.0,418120.0,75261.6,1068.739,6286.7,418120.0,0.0,0.0
6037,41.0,0.0,0.0,1224000.0,220320.0,0.0,0.0,1224000.0,0.0,0.0
6039,10.0,0.0,38.329,24068.4,4339.21122,0.0,0.0,24106.729,0.0,0.0
6039,14.0,9736.3,0.0,0.0,0.0,1655.171,9736.3,0.0,0.0,0.0
6041,27.0,1.0663714286,0.0,40634.8,7314.264,0.181283142862,1.0663714286,40634.8,0.0,0.0
6043,10.0,0.0,1617.5,2951.554,822.42972,0.0,0.0,4569.054,0.0,0.0
6045,37.0,0.0,52380.0,19133.4,12872.412,0.0,0.0,71513.4,0.0,0.0
6047,11.0,112270.0,0.0,38608.94,6949.6092,19085.9,112270.0,38608.94,0.0,0.0
6049,25.0,13010.0,12719.0,1768.354,2607.72372,2211.7,13010.0,14487.354,0.0,0.0
6051,16.0,0.0,0.0,2209.7,397.746,0.0,0.0,2209.7,0.0,0.0
6053,43.0,2385.3,0.0,65703.4,11826.612,405.501,2385.3,65703.4,0.0,0.0
6055,32.0,2.7409263959,122.65,28317.3,5119.191,0.465957487303,2.7409263959,28439.95,0.0,0.0
6057,24.0,2.0609328209,20061.0,17303.8,6725.664,0.350358579553,2.0609328209,37364.8,0.0,0.0
6059,40.0,76.457,0.0,517176.0,93091.68,12.99769,76.457,517176.0,0.0,0.0
6061,24.0,0.0,22926.0,60762.9,15064.002,0.0,0.0,83688.9,0.0,0.0
6061,31.0,15515.0,0.0,0.0,0.0,2637.55,15515.0,0.0,0.0,0.0
6063,21.0,0.0,85915.0,3597.61,16112.2698,0.0,0.0,89512.61,0.0,0.0
6065,34.0,19081.0,0.0,363816.0,65486.88,3243.77,19081.0,363816.0,0.0,0.0
6067,31.0,25468.0,0.0,245109.0,44119.62,4329.56,25468.0,245109.0,0.0,0.0
6069,11.0,356.72,30.663,10758.0,1941.95934,60.6424,356.72,10788.663,0.0,0.0
6071,34.0,50.281,4108.8,372995.0,67878.684,8.54777,50.281,377103.8,0.0,0.0
6073,34.0,476.17,0.0,463472.749,83425.09482,80.9489,476.17,463472.749,0.0,0.0
6073,40.0,0.0,0.0,40406.251,7273.12518,0.0,0.0,40406.251,0.0,0.0
6075,27.0,0.0,0.0,128020.2,23043.636,0.0,0.0,128020.2,0.0,0.0
6077,10.0,94406.0,0.0,125636.0,22614.48,16049.02,94406.0,125636.0,0.0,0.0
6079,19.0,6202.3,0.0,41868.5,7536.33,1054.391,6202.3,41868.5,0.0,0.0
6081,27.0,62.779,1931.8,112194.6,20542.752,10.67243,62.779,114126.4,0.0,0.0
